name,latitude,longitude,dermoscopie,adresse,ville,code_postal,phone,email,description
Pharmacie Pharmavance Beaubourg,48.8627616,2.3544693,non,,,,,,
PHARMACIE EVRARD,49.2556629,5.9456451,non,,,,,,
Pharmacie Du Grand Sully,47.766103,2.374349,non,,,,,,
PHARMACIE COLIN - FONTAINE LA GUYON,48.4745272,1.3213104,non,,,,,,
Pharmacie du Bourg,48.0132158,2.7304138,non,,,,,,
La Grande Pharmacie du 15,48.8444413,2.2838553,non,,,,,,
💊 PHARMACIE DE LA PLACE,43.4610827,6.480783,non,,,,,,
Hello Pharmacie de Charavines,45.4335551,5.5145048,non,,,,,,
Pharmacie Du Vieux Doulon,47.2341931,-1.504841,non,,,,,,
Pharmacie Boissière Hippodrome,47.2517173,-1.5670007,non,,,,,,
💊 PHARMACIE DU CLOS DE LA FONTAINE I Les Sorinières 44,47.1506201,-1.5336698,non,,,,,,
Pharmacie du Russey,47.1583867,6.7209133,non,,,,,,
Pharmacie de Villaroy,48.7667692,2.0787086,non,,,,,,
PHARMACIE LPPN,48.8912833,2.1925204,non,,,,,,
Pharmacie de Dhuizon,47.5883418,1.6584333,non,,,,,,
Pharmacie D'Ornano,44.8342219,-0.5886062,non,,,,,,
Pharmacie Foulon,48.4218136,3.920018,non,,,,,,
Pharmacie de Lherm,43.4293525,1.2214907,non,,,,,,
PHARMACIE DES ECOLES DE COUËRON / MATHEVET SALAS,47.2139587,-1.7245515,non,,,,,,
💊 PHARMACIE PRINCIPALE l Kremlin-Bicêtre 94,48.813256,2.361099,non,,,,,,
Pharmacie Cantonale,48.6602127,7.6055487,non,,,,,,
PHARMACIE DE LA BEAUJOIRE,47.2592128,-1.5193749,non,,,,,,
Pharmacie Essars Catherine Desailly,50.5486018,2.6631107,non,,,,,,
Pharmacie du Château 💊 Totum,45.820605,-0.782974,non,,,,,,
PHARMACIE HAY,48.0703362,2.0540758,non,,,,,,
Pharmacie de Beaugency,47.2035483,-1.4910036,non,,,,,,
Pharmacie De La Collégiale,47.8110896,7.1022984,non,,,,,,
PHARMACIE NOTRE DAME,49.4872357,0.1071891,non,,,,,,
PHARMACIE LACHOR,50.5406903,2.6091869,non,,,,,,
PHARMACIE DE POUILLEY LES VIGNES,47.254743,5.9369671,non,,,,,,
PHARMACIE DANG,48.8374377,2.3912424,non,,,,,,
La Pharmacie du Donjon,49.4699588,-1.6336462,non,,,,,,
Pharmacie Colbert,47.9030711,3.6002451,non,,,,,,
Pharmacie Lemanissier,48.7645503,0.6243549,non,,,,,,
GRANDE PHARMACIE DU PROGRES,46.8391432,-0.493108,non,,,,,,
Pharmacie des Vignes,47.1607556,-1.2652944,non,,,,,,
Pharmacie Léau Gadier,47.8665444,2.1217207,non,,,,,,
Pharmacie Viv'Erdre - Hyper U,47.2849837,-1.5529515,non,,,,,,
Pharmacie Saint Michel,43.8655715,1.5041664,non,,,,,,
Pharmacie de l'Aguado (Selarl),48.6334773,2.4430739,non,,,,,,
PHARMACIE DE TREVIGNON,47.807372,-3.8389432,non,,,,,,
PHARMACIE BARBIN - REDON,47.6484523,-2.0879881,non,,,,,,
Pharmacie de la Bernerie,47.0794673,-2.0361596,non,,,,,,
PHARMACIE DU BOULEVARD DE STRASBOURG,47.4568793,-0.5541468,non,,,,,,
Pharmacie Pierre Et Bassetti,47.0551864,6.6058842,non,,,,,,
PHARMACIE DE BEAUNE LA ROLANDE,48.0647881,2.4208029,non,,,,,,
43 Rue Pierre Vernier,47.1059769,6.1477626,non,,,,,,
Pharmacie de la Victoire,47.3847599,-1.0284411,non,,,,,,
PHARMACIE DES MAUGES / MATERIEL MEDICAL/ ORTHOPEDIE,47.3553734,-1.0147012,non,,,,,,
Pharmacie Jaune des 3 moulins,48.820239,2.251711,non,,,,,,
Pharmacie De La Place,48.0373213,2.3823912,non,,,,,,
PHARMACIE DES COTEAUX DU BEARN,43.5588377,-0.2732303,non,,,,,,
PHARMACIE DES ARGOULETS,43.622951,1.4727098,non,,,,,,
PHARMACIE DE L'AISNE,49.9483643,3.4146096,non,,,,,,
PHARMACIE DES GABARES - VERTOU,47.1728691,-1.4759485,non,,,,,,
Pharmacie _ du Corsen,48.4329878,-4.7318365,non,,,,,,
Pharmacie Du Château,46.3488166,2.215273,non,,,,,,
Aprium Pharmacie d'Iéna,50.6234743,3.0540396,non,,,,,,
Pharmacie de la Prée,46.646938,-0.7460977,non,,,,,,
Pharmacie de la Juine,48.3613754,2.1279515,non,,,,,,
Pharmacie du Village,48.9914202,2.3747949,non,,,,,,
PHARMACIE DE BONNY,47.5605091,2.8400065,non,,,,,,
Pharmacie Baldy Mejean Crétal,43.2234143,2.3363607,non,,,,,,
Pharmacie Chartraine,49.0247173,1.1485155,non,,,,,,
Pharmacie des Pommiers,47.3394572,0.7098332,non,,,,,,
Pharmacie Agnés Darmon,48.890831,2.334632,non,,,,,,
Pharmacie de l'hôtel de ville,50.4739985,3.2412068,non,,,,,,
Pharmacie de La Poste JM LACOMBLEZ,50.481885,3.0123188,non,,,,,,
Pharmacie de la Sedelle,46.2318242,1.4878962,non,,,,,,
Pharmacie de Cadours,43.7296911,1.0594324,non,,,,,,
Pharmacie des Roches,43.2716823,5.4291086,non,,,,,,
PHARMACIE LAMARE,46.2372304,1.4859002,non,,,,,,
Pharmacie des Hucherolles,47.1730897,0.2515878,non,,,,,,
Pharmacie HETTE,47.435853,-2.0898342,non,,,,,,
pharmacie des six vallees,46.4308062,0.2635493,non,,,,,,
Pharmacie Saint Pierremont,49.2844665,5.8950797,non,,,,,,
Pharmacie Croix Blanche.,49.007032,2.1971442,non,,,,,,
Brochard Pascale,47.157304,1.9975684,non,,,,,,
PHARMACIE DE LAILLY,47.7684238,1.6892883,non,,,,,,
Pharmacie de la Creule,50.73919,2.546283,non,,,,,,
Pharmacie Doulon-Gohards,47.2353019,-1.502949,non,,,,,,
Pharmacie de la grande armée totum 💊,41.926343,8.7286158,non,,,,,,
PHARMACIE DE MARCILLY,47.764814,2.0212,non,,,,,,
PHARMACIE DU PARC,48.8260003,2.3418005,non,,,,,,
PHARMACIE DE LA FORET - NEUVY SUR BARANGEON,47.315321,2.255161,non,,,,,,
Pharmacie SAIDI,47.5194194,-1.9562928,non,,,,,,
PHARMACIE D'ARVOR,47.6706421,-2.9858863,non,,,,,,
Pharmacie de L'Europe,43.641978,3.8200202,non,,,,,,
Pharmacie Saint Jean,48.0846974,7.3663842,non,,,,,,
PHARMACIE SAINT DENIS,47.8793192,1.9527404,non,,,,,,
Pharmacie du Beuvron,47.603359,2.0252939,non,,,,,,
Pharmacie du Cours Ajaccio 💊 Totum,41.924499,8.737807,non,,,,,,
PHARMACIE RAHOU,47.2113231,-1.6159469,non,,,,,,
Pharmacie La Pharmille,49.6292958,-1.6419912,non,,,,,,
Pharmacie de La Rocade,48.6140587,7.7325123,non,,,,,,
Pharmacie de Massieux,45.9088067,4.8164162,non,,,,,,
Pharmacie Gatillon,47.1843043,0.0504077,non,,,,,,
💊 GRANDE PHARMACIE DE LA GARE | Vincennes,48.8479558,2.4345235,non,,,,,,
Pharmacie des Cigales,43.4335142,6.7416818,non,,,,,,
Pharmacie de la Fontaine,47.892713,1.916871,non,,,,,,
PHARMACIE DU MARCHE,43.8602027,4.948558,non,,,,,,
PHARMACIE DU MARAIS - Norrent fontes,50.5854993,2.4081734,non,,,,,,
PHARMACIE ST HONORE,49.8886679,2.2881059,non,,,,,,
Pharmacie Des Capucines,48.5804478,7.6873502,non,,,,,,
Pharmacie Saint Joseph,47.600107,7.4970583,non,,,,,,
Pharmacie de l'Hôtel de Ville,47.6019006,2.0248744,non,,,,,,
PHARMACIE DE QUINTAOU,43.4860016,-1.5146047,non,,,,,,
Pharmacie Monier,50.4972263,3.4519371,non,,,,,,
Pharmacie Saint Aubin,43.604633,1.454051,non,,,,,,
PHARMACIE MONTAGNY,48.924354,2.274926,non,,,,,,
La Grande Pharmacie,47.2952481,-2.5129711,non,,,,,,
Pharmacie Herbert,46.6471029,-0.2514739,non,,,,,,
PHARMACIE DE MILLIANE,43.1181626,1.6147381,non,,,,,,
Pharmacie Saint Hilaire,48.323456,0.82015,non,,,,,,
Pharmacie du coeur de ville,46.9467081,-0.594645,non,,,,,,
Pharmacie Mediolanaise,50.3010582,2.7779615,non,,,,,,
PHARMACIE ABRAYSIENNE,47.9110213,1.9576265,non,,,,,,
Pharmacie du Monastère,44.3446492,2.5802193,non,,,,,,
PHARMACIE DES HALLES,47.112913,0.6204141,non,,,,,,
Pharmacie Rochefort Audu,47.2803421,-2.2280957,non,,,,,,
Pharmacie de Fleur,47.8024121,7.1291135,non,,,,,,
PHARMACIE DE MONTFERRAT,45.4887663,5.5925494,non,,,,,,
PHARMACIE D'ISSENHEIM,47.9058841,7.2511825,non,,,,,,
GRANDE PHARMACIE DE L'UNION,42.5505968,3.0120758,non,,,,,,
Pharmacie Aubinoise,50.3502366,2.5795714,non,,,,,,
Pharmacie de l'Étoile,48.3118617,1.9990755,non,,,,,,
Pharmacie Gillet,47.2356202,6.0078381,non,,,,,,
Pharmacie de la Liberté,49.311658,5.7812626,non,,,,,,
Pharmacie PharmaNatura,48.989171,-1.332759,non,,,,,,
Pharmacie de la Rose,48.4959612,7.4681489,non,,,,,,
Pharmacie de Loury,48.0016027,2.0848527,non,,,,,,
Pharmacie du Pfoeller,48.6094333,7.7574437,non,,,,,,
Pharmacie Le Garo Martin,48.0589703,-1.1918865,non,,,,,,
Pharmacie de Port Grimaud,43.2742726,6.5802813,non,,,,,,
Pharmacie de l'Etape,48.407041,2.7032445,non,,,,,,
Pharmacie des 3 Îles,47.2005713,-1.6687382,non,,,,,,
Pharmacie Victor Hugo,46.9838252,-0.2122128,non,,,,,,
Pharmacie Vauban,42.6987633,2.8916603,non,,,,,,
Pharmacie de Monteux,44.0336914,4.9979055,non,,,,,,
PHARMACIE ANTOINE,48.2876917,6.9493658,non,,,,,,
PHARMACIE MOURET,43.2904614,5.8657102,non,,,,,,
Pharmacie Villejuif Aragon,48.7884612,2.3661373,non,,,,,,
Pharmacie de l'Eglise,45.8211265,5.1962634,non,,,,,,
Pharmacie de l'Hôtel de Ville,48.6043049,7.7470131,non,,,,,,
Pharmacie Place de Rome,43.2913023,5.3803551,non,,,,,,
PHARMACIE BUSSIERE,45.719635,4.802278,non,,,,,,
Pharmacie du Thérain,49.2525325,2.4289394,non,,,,,,
Pharmacie Laurentaise/Matériel médical,47.3146488,-0.8054171,non,,,,,,
Pharmacie de saint quay,48.6503019,-2.8309177,non,,,,,,
Pharmacie du Faubourg - Milési 💊 Totum,45.3223481,4.6159937,non,,,,,,
Pharmacie Serrure Jaspar,50.637583,3.0237809,non,,,,,,
Pharmacie du Pôle Santé,48.446655,1.5771253,non,,,,,,
Pharmacie du Boulevard Jessuan et Océane ROY,47.2566806,6.0212001,non,,,,,,
Pharmacie Chesneau Givelet,47.1140995,-2.0979148,non,,,,,,
Pharmacie Dufour-Sereni,48.2964829,2.2012461,non,,,,,,
PHARMACIE LECHON STRUZYK,50.3552023,2.7597387,non,,,,,,
PHARMACIE DES LILAS,46.891141,-1.2505049,non,,,,,,
Pharmacie Mont Louis,48.858315,2.3892741,non,,,,,,
PHARMACIE DES MAINES,46.947139,-1.2946799,non,,,,,,
Pharmacie du Cormier,47.2611027,-1.6634826,non,,,,,,
PHARMACIE DE LA MONNERAYE,47.4512264,-2.3154596,non,,,,,,
Pharmacie Centrale,50.2270841,2.1171417,non,,,,,,
Pharmacie du Lys,48.5639403,7.7613497,non,,,,,,
Pharmacie des Trèfles d'Or,47.5755826,7.5253225,non,,,,,,
Grande Pharmacie de Paris,50.687308,3.1749442,non,,,,,,
Pharmacie Centrale BLET FRADIN,46.9486556,1.9913323,non,,,,,,
Grande Pharmacie de Champdieu / Hello Pharmacie,45.6448338,4.0505514,non,,,,,,
Pharmacie des Danjons,47.0826757,2.3642747,non,,,,,,
Pharmacie du Centre Commercial Villabé,48.58415,2.451203,non,,,,,,
Pharmacie Grenelle Tour Eiffel (Dupleix),48.8508255,2.2931454,non,,,,,,
Pharmacie de Beaumont,50.3493367,3.1472797,non,,,,,,
Pharmacie de la Galaure by MEDIPRIX / Chateauneuf de Galaure,45.2281761,4.9596357,non,,,,,,
Pharmacie de Vigny,49.0776104,1.9265053,non,,,,,,
Pharmacie de Recologne,47.2695137,5.8395214,non,,,,,,
Pharmacie du Golfe Totum,43.1719597,6.529979,non,,,,,,
PHARMACIE DE LA VILLENEUVE,46.772589,4.8932986,non,,,,,,
Pharmacie du centre,48.5386502,7.4544588,non,,,,,,
Pharmacie de FAREINS,46.0198781,4.7609978,non,,,,,,
PHARMACIE DE JOUVENCE - ST GENGOUX LE NATIONAL,46.6139593,4.6635296,non,,,,,,
Pharmacie du Las by Mediprix Toulon,43.1275077,5.9178992,non,,,,,,
Pharmacie de L'Hotel Dieu,48.118507,-1.681231,non,,,,,,
Pharmacie de l'Abbaye,50.2937,2.7748645,non,,,,,,
Pharmacie de La Rivière,48.2876034,4.0320686,non,,,,,,
Pharmacie Alhamwi,47.4743888,6.8569559,non,,,,,,
Pharmacie du Tillay,47.2287162,-1.6049032,non,,,,,,
Pharmacie de Paris Chantilly pharmacie de garde au 3237,49.193331,2.465094,non,,,,,,
Pharmacie de La Rose,48.8294681,8.0380777,non,,,,,,
Pharmacie Dominique,47.4050573,0.6019776,non,,,,,,
PHARMACIE GUYOT,46.9777666,4.7691803,non,,,,,,
Pharmacie de la Digue,48.7125732,7.922416,non,,,,,,
PHARMACIE DES EPINETTES,48.6219921,2.4405268,non,,,,,,
Pharmacie des Ollières,45.7576599,4.7314272,non,,,,,,
25A Rte d'Ingersheim,48.0838777,7.3456651,non,,,,,,
162 Rue du Président François Mitterrand,48.6899389,2.2881291,non,,,,,,
Pharmacie de la Croix Blanche / HELLO PHARMACIE,46.2042816,5.2409707,non,,,,,,
Pharmacie des Chartreux Julie VANDEPUTTE,48.2734246,4.0853869,non,,,,,,
PHARMACIE DE LA GRANDE CROIX,44.356453,2.579701,non,,,,,,
PHARMACIE Carbiener Fegersheim,48.4899466,7.6785133,non,,,,,,
Pharmacie des Huiliers,46.8749756,4.9469386,non,,,,,,
Pharmacie Orain,47.1885207,-1.6826822,non,,,,,,
Pharmacie Edouard Herriot,48.2736029,4.0819416,non,,,,,,
Pharmacie de Boulieu 💊 Totum,45.271013,4.6678222,non,,,,,,
Pharmacie des Engrives / Hello Pharmacie,45.6952114,5.0214144,non,,,,,,
Pharmacie Riffard - Annonay 💊 Totum,45.2430683,4.665812,non,,,,,,
Pharmacie Du Lion,48.6375742,7.4458645,non,,,,,,
Pharmacie Martiny,47.2893781,0.781355,non,,,,,,
PHARMACIE DU CANADA,50.3529232,3.5226592,non,,,,,,
Pharmacie Lehre,46.5583449,5.0009106,non,,,,,,
Pharmacie de Lestang,43.6684513,1.50139,non,,,,,,
Pharmacie des Dames,48.7484038,6.1654283,non,,,,,,
PHARMACIE DU FORT,43.5144614,1.3237977,non,,,,,,
Pharmacie des Halles,48.2330443,4.7066495,non,,,,,,
Pharmacie Des Plages,42.5522745,3.0459552,non,,,,,,
Pharmacie Du Centre,48.4216605,7.6446634,non,,,,,,
PHARMACIE DECOU,44.8502136,0.1025652,non,,,,,,
PHARMACIE WEYERSHEIM,48.7185328,7.7991446,non,,,,,,
PHARMACIE DU SOLEIL,48.5800405,7.716271,non,,,,,,
Aprium Pharmacie Des Alberes à Saint André 66,42.550593,2.9652166,non,,,,,,
Pharmacie Dolus d'Oléron 💊 Totum,45.911193,-1.265357,non,,,,,,
Pharmacie du Marché,48.191584,7.32422,non,,,,,,
PHARMACIE DU MAILLON,48.5927607,7.6977338,non,,,,,,
PHARMACIE BELLE CROIX,50.7125635,2.9990642,non,,,,,,
Pharmacie Des Recollets,47.1772775,3.0189254,non,,,,,,
Pharmacie du Parc well&well,48.1839866,5.8948481,non,,,,,,
Pharmacie de Balagny,49.2955749,2.3365814,non,,,,,,
PHARMACIE DU BAC,50.677576,2.845113,non,,,,,,
Pharmacie Bouvier-Pasquier Catherine,47.3758352,0.710599,non,,,,,,
pharmacie de Barjac-mediprix,44.3064378,4.3466897,non,,,,,,
Pharmacie des Lumières Meyzieu,45.766812,5.0018029,non,,,,,,
Pharmacie Hieulle Frédéric,50.9511477,1.8923051,non,,,,,,
Pharmacie du Centre Galliéni Leadersanté,48.934869,2.3325094,non,,,,,,
Pharmacie Beaujardin,47.3774508,0.7070989,non,,,,,,
Pharmacie Pierson-Vollmar,48.6227587,6.1095449,non,,,,,,
Pharmacie de Lavit Delon-Duilhé : Matériel médical-Aromathérapie-Phytothérapie-Micronutrition-Dermatologie-Vétérinaire.,43.9573975,0.9175975,non,,,,,,
Pharmacie du Chardon Bleu,48.6341053,6.3219306,non,,,,,,
PHARMACIE DE LA MARANDINIERE,45.4255163,4.4193451,non,,,,,,
Pharmacie Du Val d'Or Vallauris,43.5740585,7.0510872,non,,,,,,
PHARMACIE DU MARCHE,46.7944189,4.8165261,non,,,,,,
Grande Pharmacie de la Mairie,45.7629804,4.7804594,non,,,,,,
PHARMACIE DU BON ENDROIT,47.0086312,0.0887281,non,,,,,,
"Pharmacie de Neuvy, SELARL Pharmacie PINEAU",47.603895,0.594612,non,,,,,,
Pharmacie Les Mirabelles,48.5556469,6.4057198,non,,,,,,
Pharmacie le Trébuchet,43.5495217,5.0341964,non,,,,,,
Pharmacie des Maréchaux,48.6939433,6.1803953,non,,,,,,
PHARMACIE DU GAREL,45.6720969,4.7532556,non,,,,,,
Pharmacie du Centre Bethouart Totum,50.3808605,2.3357177,non,,,,,,
Pharmacie Joumard,49.1560741,5.8842826,non,,,,,,
PHARMACIE FALLER,48.1945787,7.320777,non,,,,,,
Pharmacie Allach-Jannot,49.2134965,5.6345617,non,,,,,,
Pharmacie de la Souffel,48.6356512,7.7408079,non,,,,,,
Pharmacie de la Sèvre Totum,46.722778,-0.586706,non,,,,,,
PHARMACIE SAINT-GEORGES,45.1792014,0.7264601,non,,,,,,
Pharmacie de la Capelette Totum,43.7421311,5.0860354,non,,,,,,
Pharmacie de Bourcefranc Totum,45.846431,-1.149157,non,,,,,,
Pharmacie de Fleurie,46.191926,4.6967917,non,,,,,,
Pharmacie du Soleil,47.8856535,1.828821,non,,,,,,
PHARMACIE DES HALLES,48.5868508,7.7411962,non,,,,,,
Pharmacie de la Basilique-(PORTOISE),48.6312444,6.3022446,non,,,,,,
Pharmacie De Laguenne,45.2459042,1.7770498,non,,,,,,
Pharmacie de Jailly,49.2114504,6.1245704,non,,,,,,
💊 Pharmacie Sainté-Pharma | Totum,45.472835,4.394759,non,,,,,,
Ma Pharmacie Belcier,44.8225053,-0.5531225,non,,,,,,
Pharmacie Boivin,48.5135224,3.7396084,non,,,,,,
Pharmacie de Wesserling,47.8884236,6.9979186,non,,,,,,
Pharmacie de Saint-Pan,46.9621398,4.3121982,non,,,,,,
Pharmacie de la Loire,47.8796565,1.9567791,non,,,,,,
Pharmacie des avaloirs,48.3991936,-0.101661,non,,,,,,
PHARMACIE DE LA PREFECTURE,41.9190931,8.7369979,non,,,,,,
Pharmacie Chomedey,48.303841,4.0732638,non,,,,,,
Hello Pharmacie du Carré d'As,46.1161103,3.4142821,non,,,,,,
Pharmacie de la Croix,46.2243736,-0.1311275,non,,,,,,
Pharmacie De Méry Sur Seine,48.5109244,3.8989115,non,,,,,,
Pharmacie Leon,42.4595105,9.2073665,non,,,,,,
Pharmacie de Beton-Bazoches,48.7019895,3.244517,non,,,,,,
Pharmacie du Port,43.6990443,7.2837153,non,,,,,,
Pharmacie de Cerisiers,48.1316326,3.4873339,non,,,,,,
Pharmacie de l'Escale Blanche - Hello Pharmacie Romans - Orthopédie - Micronutrition - Aromathérapie,45.0485877,5.0762925,non,,,,,,
PHARMACIE DE CORENC SELAS,45.2095271,5.7601126,non,,,,,,
PHARMACIE DE CHAILLAC PHARMACIE ACKER S,46.4344131,1.298874,non,,,,,,
Pharmacie des Hirondelles,48.553536,7.689224,non,,,,,,
PHARMACIE BRUNET,50.7111241,1.6141038,non,,,,,,
Pharmacie de la Plage,42.4829972,3.128926,non,,,,,,
PHARMACIE DE LA FONTAINE,43.3613125,3.4264199,non,,,,,,
Pharmacie des Abies - Matériel médical - Orthopédie - Phytothérapie,46.6316975,-0.5766801,non,,,,,,
Pharmacie AULD ALLIANCE,47.4881328,2.4394396,non,,,,,,
Pharmacie du Bateau,50.4833931,2.4738899,non,,,,,,
Pharmacie des Flandres,50.737399,2.3014829,non,,,,,,
Pharmacie de la dhuys,49.0329031,3.4077502,non,,,,,,
Pharmacie de la Friperie,48.5599543,3.2993982,non,,,,,,
PHARMACIE DU MARCHE,46.4666679,-0.8080041,non,,,,,,
Pharmacie du Marcadieu,43.2318823,0.0834013,non,,,,,,
Pharmacie De Creney,48.3303016,4.1295619,non,,,,,,
Pharmacie Du Breuil,48.7159509,6.2668493,non,,,,,,
Pharmacie de Malay-le-Grand,48.1797915,3.3384033,non,,,,,,
PHARMACIE DE L'ORB,43.3391757,3.2106359,non,,,,,,
Pharmacie du Val St Jean St Lô,49.1087265,-1.0714465,non,,,,,,
Pharmacie des Buissonnets,46.5437318,-0.3145572,non,,,,,,
Pharmacie Verdin Luzy,47.6969278,3.9959699,non,,,,,,
Pharmacie des Palmiers - Saint Denis d'Oléron Totum,46.0335195,-1.3798213,non,,,,,,
PHARMACIE DES VERNES,45.6050442,4.7628276,non,,,,,,
PHARMACIE DE WASQUEHAL,50.6681608,3.1338404,non,,,,,,
La Pharmacie du 8,50.4495015,2.8432955,non,,,,,,
Pharmacie de la Barre,43.5114777,-1.5001158,non,,,,,,
Pharmacie du Couvent,47.9507019,3.8784161,non,,,,,,
Pharmacie de l'Hôtel de Ville,45.5257528,4.8756074,non,,,,,,
Pharmacie Saint-Gilles,49.1881387,-0.3571265,non,,,,,,
Pharmacie du Théâtre,48.4922411,3.5024718,non,,,,,,
Pharmacie de Saint Trivier de Courtes,46.4618118,5.0786252,non,,,,,,
Pharmacie du Pouldu - Morvan,47.7957544,-4.2733756,non,,,,,,
pharmacie de la halle,48.4778979,3.133138,non,,,,,,
PHARMACIE THOMAS,46.7696058,-0.6492913,non,,,,,,
Pharmacie de la Marivoise,48.5163006,2.4457348,non,,,,,,
PHARMACIE DU PALAIS,45.186879,0.720861,non,,,,,,
Pharmacie Centre Commercial Boissy 2,48.7535128,2.5031928,non,,,,,,
Pharmacie du Mont Saint Michel,48.9446959,4.3423974,non,,,,,,
Pharmacie Plein Ciel,48.5481098,2.6435493,non,,,,,,
Pharmacie de La Mer,49.3163371,-0.3570992,non,,,,,,
Pharmacie Provinoise,48.5605752,3.3011538,non,,,,,,
PHARMACIE DE LA PLACE PICARD HERBORISTERIE DES CHARTRONS,44.8552303,-0.5718543,non,,,,,,
Pharmacie Du Bourg,46.6467823,4.3704469,non,,,,,,
PHARMACIE MIRABEAU - MONTARGIS,47.9980618,2.7332297,non,,,,,,
Pharmacie d'Auvillar,44.0701371,0.8976309,non,,,,,,
Pharmacie du Passage,47.870455,-3.907333,non,,,,,,
"Pharmacie Des Sources - Pharmacie Saint-Galmier, Chamboeuf, Cuzieu",45.5854618,4.3114231,non,,,,,,
Pharmacie Centrale,48.5772394,-3.8277089,non,,,,,,
Pharmacie Lafayette Gengembre,49.4184636,2.8257009,non,,,,,,
Pharmacie Mirabeau,43.4479243,5.6842262,non,,,,,,
Pharmacie Du Faubourg,44.3555606,2.5759418,non,,,,,,
Pharmacie Coeur De Bourg,49.2869012,-0.312618,non,,,,,,
Pharmacie Herboristerie Saint Hélier,48.1034147,-1.6616238,non,,,,,,
Aprium Pharmacie de Maillane,43.8333089,4.7870787,non,,,,,,
Aprium Pharmacie Cendres,43.7928938,4.834996,non,,,,,,
Pharmacie des Ecoles,43.1392823,6.2333899,non,,,,,,
62 Rue de Laval,48.1797272,-0.8906356,non,,,,,,
Pharmacie du Donjon,46.3250267,-0.4636309,non,,,,,,
Hello Pharmacie de Piolenc,44.1751783,4.7615587,non,,,,,,
Pharmacie la Touloubre - Puyricard,43.5808274,5.4231476,non,,,,,,
Pharmacie Joly,47.4802911,2.4270469,non,,,,,,
PHARMACIE DE LA PLACE THOUROTTE,49.4779223,2.8787445,non,,,,,,
Pharmacie du Cours du Nord,44.1623628,4.8768672,non,,,,,,
PHARMACIE DE L'AVENUE,44.8596647,-0.5148669,non,,,,,,
PHARMACIE ST SAUVEUR,49.315761,2.7818302,non,,,,,,
Pharmacie du théâtre,48.071158,-0.7669437,non,,,,,,
